  Advanced_Scheduling | threads=8 | rep=3 | nfreq=524288
  Advanced_Scheduling | threads=8 | rep=4 | nfreq=524288
  Advanced_Scheduling | threads=8 | rep=5 | nfreq=524288
  Advanced_Scheduling | threads=16 | rep=1 | nfreq=1048576
  Advanced_Scheduling | threads=16 | rep=2 | nfreq=1048576
  Advanced_Scheduling | threads=16 | rep=3 | nfreq=1048576
  Advanced_Scheduling | threads=16 | rep=4 | nfreq=1048576
  Advanced_Scheduling | threads=16 | rep=5 | nfreq=1048576
  Advanced_Scheduling | threads=32 | rep=1 | nfreq=2097152
  Advanced_Scheduling | threads=32 | rep=2 | nfreq=2097152
  Advanced_Scheduling | threads=32 | rep=3 | nfreq=2097152
  Advanced_Scheduling | threads=32 | rep=4 | nfreq=2097152
  Advanced_Scheduling | threads=32 | rep=5 | nfreq=2097152
  Advanced_Scheduling | threads=64 | rep=1 | nfreq=4194304
  Advanced_Scheduling | threads=64 | rep=2 | nfreq=4194304
  Advanced_Scheduling | threads=64 | rep=3 | nfreq=4194304
  Advanced_Scheduling | threads=64 | rep=4 | nfreq=4194304
  Advanced_Scheduling | threads=64 | rep=5 | nfreq=4194304
Starting tests for strategy6 (Sections_Based)
  Sections_Based | threads=1 | rep=1 | nfreq=65536
  Sections_Based | threads=1 | rep=2 | nfreq=65536
  Sections_Based | threads=1 | rep=3 | nfreq=65536
  Sections_Based | threads=1 | rep=4 | nfreq=65536
  Sections_Based | threads=1 | rep=5 | nfreq=65536
  Sections_Based | threads=2 | rep=1 | nfreq=131072
  Sections_Based | threads=2 | rep=2 | nfreq=131072
  Sections_Based | threads=2 | rep=3 | nfreq=131072
  Sections_Based | threads=2 | rep=4 | nfreq=131072
  Sections_Based | threads=2 | rep=5 | nfreq=131072
  Sections_Based | threads=4 | rep=1 | nfreq=262144
  Sections_Based | threads=4 | rep=2 | nfreq=262144
  Sections_Based | threads=4 | rep=3 | nfreq=262144
  Sections_Based | threads=4 | rep=4 | nfreq=262144
  Sections_Based | threads=4 | rep=5 | nfreq=262144
  Sections_Based | threads=8 | rep=1 | nfreq=524288
  Sections_Based | threads=8 | rep=2 | nfreq=524288
  Sections_Based | threads=8 | rep=3 | nfreq=524288
  Sections_Based | threads=8 | rep=4 | nfreq=524288
  Sections_Based | threads=8 | rep=5 | nfreq=524288
  Sections_Based | threads=16 | rep=1 | nfreq=1048576
  Sections_Based | threads=16 | rep=2 | nfreq=1048576
  Sections_Based | threads=16 | rep=3 | nfreq=1048576
  Sections_Based | threads=16 | rep=4 | nfreq=1048576
  Sections_Based | threads=16 | rep=5 | nfreq=1048576
  Sections_Based | threads=32 | rep=1 | nfreq=2097152
  Sections_Based | threads=32 | rep=2 | nfreq=2097152
  Sections_Based | threads=32 | rep=3 | nfreq=2097152
  Sections_Based | threads=32 | rep=4 | nfreq=2097152
  Sections_Based | threads=32 | rep=5 | nfreq=2097152
  Sections_Based | threads=64 | rep=1 | nfreq=4194304
  Sections_Based | threads=64 | rep=2 | nfreq=4194304
  Sections_Based | threads=64 | rep=3 | nfreq=4194304
  Sections_Based | threads=64 | rep=4 | nfreq=4194304
  Sections_Based | threads=64 | rep=5 | nfreq=4194304
Detailed weak scaling finished. Results in results/data/detailed_weak_scaling.csv
